artist_name_limpo,total_musicas,total_streams
HA SUNG WOON JIMIN,1,240580042
CARIN LEON,1,77309611
D4VD,2,1316995171
MAHALINI,1,166570053
ARIJIT SINGH SACHINJIGAR AMITABHA BHATTACHARYA,1,64533040
HOZIER,1,2135158446
THE WALTERS,1,972164968
PRITAM ARIJIT SINGH AMITABH BHATTACHARYA,1,366599607
KAIFI KHALIL,1,156777415
KEVIN KAARL,1,244891912
INTERWORLD,1,357580552
ARIJIT SINGH SACHINJIGAR,1,139836056
XXXTENTACION,2,2223066724
LIBIANCA,1,373199958
JAMES BLAKE METRO BOOMIN,1,39666245
RESIDENTE BIZARRAP,1,94616487
CHRISTIAN NODAL,1,319757142
LAUREN SPENCER SMITH LAUREN SPENCER SMITH LAUREN SPENCER SMITH,1,349585590
SELENA GOMEZ,1,91473363
NEW WEST,1,411747614
FRANK SINATRA B SWANSON QUARTET,1,473248298
JUSTIN BIEBER,2,2752482785
BAD BUNNY TAINY,1,1304313953
GIVEON,1,951637566
KENDRICK LAMAR SAM DEW BABY KEEM,1,86176890
SZA PHOEBE BRIDGERS,1,110073250
LUDWIG GORANSSON FOUDEQUSH,1,71095708
AYPARIA UNXBECTED,1,58054811
KATE BUSH,1,1024858327
SWAE LEE A BOOGIE WIT DA HOODIE METRO BOOMIN NAV,1,109276132
MC LIVINHO DJ MATT D,1,39709092
GORILLAZ BAD BUNNY,1,149778242
KALI UCHIS,1,256483385
TULUS,1,202677468
ALEC BENJAMIN,1,1374581173
LANA DEL REY TAYLOR SWIFT,1,60350538
BIZARRAP TIAGO PZK,1,374191487
TAYLOR SWIFT LANA DEL REY,1,323437194
Z NETO  CRIST,1,145458418
SZA TRAVIS SCOTT,1,155653938
QUEVEDO LA PANTERA JUSEPH CRUZ CAFUN BJO ABHIR HATHI,1,245400167
BURL IVES,1,395591396
ESLABON ARMADO PESO PLUMA,1,725980112
LOST FREQUENCIES CALUM SCOTT,1,972509632
BIGBANG,1,53909146
SAM SMITH,1,1606986953
JHOPE J COLE,1,116599790
CHUCK BERRY,1,245350949
JUNIOR H EDEN MU,1,89933133
VICTOR CIBRIAN,1,164856284
LUIS R CONRIQUEZ LA ADICTIVA,1,323455692
OMAR APOLLO,1,227918678
LAUREN SPENCER SMITH,1,184826429
JACK BLACK,1,68216992
MC VITIN DA IGREJINHA MC TAIRON DJ WIN,1,129314708
UGLY DRAY TESLA JNR,1,121077868
YAHRITZA Y SU ESENCIA,1,126443991
ARCANGEL BIZARRAP,1,100409613
KAROL G SHAKIRA,1,618990393
TREASURE,1,182978249
SZA DON TOLIVER,1,94005786
PERRY COMO THE FONTANE SISTERS MITCHELL AYRES  HIS ORCHESTRA,1,295998468
MARLIA MENDONA HUGO  G,1,291709698
ARIANA GRANDE,1,1252563873
SALES,1,156658366
YURIDIA ANGELA AGUILAR,1,236857112
MARLIA MENDO,1,267789608
SHAKIRA,1,123124076
POST MALONE SWAE LEE,1,2808096550
THE WEEKND ROSAL,1,374706940
MAROON 5,1,1759567999
MELODY ANA CASTELA DJ CHRIS NO BEAT,1,191873381
NICKI MINAJ AQUA ICE SPICE,1,65156199
FIFTY FIFTY,2,636477650
RAUW ALEJANDRO ROSAL,1,357925728
SLEEPY HALLOW,1,624515457
YNG LVCAS,1,191945597
BAD BUNNY THE MAR,1,319546754
MAINSTREET CHEFIN,1,143139338
JUSTIN QUILES LENNY TAVREZ BL,1,393230256
BUSCABULLA BAD BUNNY,1,344055883
RMA SELENA G,1,899183384
ABHIJAY SHARMA RIAR SAAB,1,71007139
SLEEPY HALLOW 347AIDAN,1,160845341
LEO SANTANA,1,134294498
THE POLICE,1,1593270737
MANUEL TURIZO,1,1214083358
VEIGH BVGA BEATZ SUPERNOVA ENT PROD MALAX,1,81102253
MIGRANTES LIL CAKE NICO VALDI,1,231332117
KALI UCHIS AMAARAE MOLIY,1,354065229
DENNIS MC KEVIN O CHRIS,1,111947664
OZUNA SHAKIRA,1,380726517
CHARLIE PUTH BTS JUNG KOOK,1,720434240
MAC DEMARCO,1,244658767
MAE STEPHENS,1,165584767
TINI,1,217672943
BABY TATE,1,122763672
KENDRICK LAMAR KODAK BLACK,1,123216717
KAROL G OVY ON THE DRUMS,1,294352144
L7NNON DJ BIEL DO FURDUNCINHO BIANCA,1,176103902
ED SHEERAN FIREBOY DML,1,261286503
